ลำดับ,วันที่,เวลาเริ่ม,เวลาสิ้นสุด,ระยะเวลาดับ_นาที,สถานที่,รหัสอุปกรณ์,จำนวนผชฟ_กระทบ,สภาพอากาศ,สาเหตุ,ช่องทางการแจ้ง,เวลารับแจ้ง,เวลาออกปฏิบัติงาน,เวลาเสร็จงาน,เวลาแก้ไข_นาที,ผู้ปฏิบัติงาน,ยานพาหนะ,อุปกรณ์_รายการ,อุปกรณ์_จำนวน,หมายเหตุ,date_iso
1937,6 พ.ค. 2569,11:31,11:54,22,กฟส.ท่าอุเทน (XS),SSK02VF-232,36,อากาศปกติ,สภาพสิ่งแวดล้อม-ไฟไหม้วัชพืชใต้ไลน์,ศจฟ,11:31,11:32,11:36,4,1. ปรินทร์ บุญเทียม,รถ : -,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-05-06
1938,6 พ.ค. 2569,11:39,13:14,94,กฟส.ท่าอุเทน (XS),SSK02VF-240,0,อากาศปกติ,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,11:39,11:50,13:00,70,1. ปรินทร์ บุญเทียม,รถ : -,FUSE LINK 22 KV. 30 A.EEI-NEMA TYPE K,2,,2026-05-06
1939,6 พ.ค. 2569,13:14,13:17,3,กฟส.บ้านแพง (S),SSK08F-67,48,ลมแรง,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,13:14,12:45,13:23,38,1. รชานนท์ โมธรรม,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,2,,2026-05-06
1940,6 พ.ค. 2569,13:40,15:03,82,กฟส.บ้านแพง (S),SEK01F-63-1,94,ฝนตก ลมแรง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,13:40,14:15,15:04,49,1. รชานนท์ โมธรรม,รถ : กระเช้าบ้านแพง,"BOLT,DOUBLE ARMING,M.16X450 MM.",2,,2026-05-06
1941,6 พ.ค. 2569,14:42,17:44,182,กฟส.ธาตุพนม (S),THA06VF-035,55,อากาศปกติ,สัตว์-นก/ค้างคาว,ศจฟ,14:42,15:11,17:00,109,1. นรากร แสนโสม,รถ : กระเช้าธาตุพนม,FUSE LINK 22 KV. 30 A.EEI-NEMA TYPE K,2,,2026-05-06
1942,6 พ.ค. 2569,15:00,15:30,29,กฟจ.นครพนม (L),27-011157,96,อากาศปกติ,สัตว์-นก/ค้างคาว,ศจฟ,15:00,15:00,15:50,50,1. ชัยยา มาตขาว  | 2. ปรีชา เพ็งคำ,รถ : 3ฒภ 2576 กทม (นพ 01),"CABLE,AL,750 V,95 SQ.MM. TIS.293",10,,2026-05-06
1943,6 พ.ค. 2569,15:08,15:16,8,กฟส.ท่าอุเทน (XS),BFA09VF-223,106,อากาศปกติ,สัตว์-นก/ค้างคาว,ศจฟ,15:08,15:09,15:20,11,1. ปรินทร์ บุญเทียม,รถ : -,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,1,,2026-05-06
1944,6 พ.ค. 2569,15:48,16:56,67,กฟส.ศรีสงคราม (XS),63-023315,314,อากาศปกติ,สัตว์-งู,ศจฟ,15:48,15:49,17:00,71,1. วุฒิชัย เหมเมือง  | 2. ศิลารักษ์ วิภา,รถ : ศรีสงคราม 03,FUSE LINK 22 KV. 8 A.EEI-NEMA TYPE K,2,,2026-05-06
1945,6 พ.ค. 2569,16:00,16:03,3,กฟส.นาหว้า (XS),43-000235,258,อากาศปกติ,สัตว์-งู,ศจฟ,16:00,15:50,16:06,16,1. อัมรินทร์ วะราวัง,รถ : นาหว้า 02,"CABLE,AL,750 V,95 SQ.MM. TIS.293",5,,2026-05-06
1946,6 พ.ค. 2569,17:48,18:08,20,กฟส.เรณูนคร (XS),28987896,1,อากาศปกติ,สัตว์-งู,ศจฟ,17:48,17:49,18:10,21,1. พงศวัชร์ ธัญภัทร์อนันต์,รถ : 80-7964 นพ รณ.01,"CONN.,PG,DOUBLE BOLT,AL 16-70 SQ.MM.",1,,2026-05-06
1947,6 พ.ค. 2569,18:44,19:10,26,กฟส.เรณูนคร (XS),61-004047,56,อากาศปกติ,สัตว์-งู,ศจฟ,18:44,18:45,19:18,33,1. พงศวัชร์ ธัญภัทร์อนันต์,รถ : 80-7964 นพ รณ.01,FUSE LINK 22 KV. 3 A.EEI-NEMA TYPE K,1,,2026-05-06
1948,6 พ.ค. 2569,18:49,19:57,67,กฟจ.นครพนม (L),NNA02VF-038,186,อากาศปกติ,สัตว์-งู,ศจฟ,18:49,18:15,19:30,75,1. ธำรงรัตน์ สระแก้ว  | 2. พิพัฒน์ พิมพ์ศรี  | 3. สันติ อินทิสาร  | 4. สุรวุฒิ สุขแสงดาว,รถ : 81-1269 นพ (นพ 03),FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,2,,2026-05-06
1949,6 พ.ค. 2569,19:32,20:52,79,กฟจ.นครพนม (L),63-018965,11,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,19:32,19:46,20:53,67,1. ธำรงรัตน์ สระแก้ว  | 2. พิพัฒน์ พิมพ์ศรี  | 3. สันติ อินทิสาร  | 4. สุรวุฒิ สุขแสงดาว,รถ : 3ฒภ 2576 กทม (นพ 01),"H.R.C. FUSE, BLADE CONTACT, 100 A",2,,2026-05-06
1950,6 พ.ค. 2569,19:52,20:20,27,กฟส.เรณูนคร (XS),THA02F-51,572,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,19:52,19:53,20:30,37,1. พงศวัชร์ ธัญภัทร์อนันต์,รถ : 80-7964 นพ รณ.01,,,,2026-05-06
1951,6 พ.ค. 2569,19:59,20:04,5,กฟส.นาแก (S),6200492728,1,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,19:59,20:00,20:27,27,1. ศักดินันต์ ศรีพุทโธ,รถ : นก-03,"CONN.,PG,DOUBLE BOLT,AL 25-95 SQ.MM.",2,,2026-05-06
1952,6 พ.ค. 2569,20:46,21:09,22,กฟส.ปลาปาก (XS),61-009811,167,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,20:46,20:47,21:12,25,1. นครินทร์ จำปาทิ,รถ : รถแก้ไฟปลาปาก 01,"H.R.C. FUSE, BLADE CONTACT, 100 A",1,,2026-05-06
1953,6 พ.ค. 2569,20:47,21:13,26,กฟส.ปลาปาก (XS),57-005646,83,อากาศปกติ,ต้นไม้-ต้นไม้ล้มทับสาย,ศจฟ,20:47,20:48,21:16,28,1. นครินทร์ จำปาทิ,รถ : รถแก้ไฟปลาปาก 01,H.R.C. FUSE 50 A.DIN OR BS,1,,2026-05-06
1954,6 พ.ค. 2569,20:54,21:08,14,กฟส.นาแก (S),THA03VF-233-1,191,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,20:54,20:54,21:11,17,1. ศักดินันต์ ศรีพุทโธ,รถ : นก-03,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,1,,2026-05-06
1955,6 พ.ค. 2569,21:38,21:49,11,กฟส.นาแก (S),THA03VF-242-1,86,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,21:38,21:39,22:00,21,1. ศักดินันต์ ศรีพุทโธ,รถ : นก-03,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,1,,2026-05-06
1956,6 พ.ค. 2569,21:46,22:11,24,กฟส.ศรีสงคราม (XS),SSK02VF-015,1623,อากาศปกติ,สัตว์-งู,ศจฟ,21:46,21:47,22:32,45,1. ปัญจพงษ์ เศรษฐาไชย,รถ : ศรีสงคราม 02,FUSE LINK 22 KV. 40 A.EEI-NEMA TYPE K,2,,2026-05-06
1957,6 พ.ค. 2569,22:17,22:22,5,กฟส.นาแก (S),THA04VF-228-1,24,ลมแรง,อุปกรณ์-ชำรุด,ศจฟ,22:17,22:19,23:00,41,1. ศักดินันต์ ศรีพุทโธ,รถ : นก-03,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-05-06
1958,7 พ.ค. 2569,06:35,08:22,107,กฟส.โพนสวรรค์ (XS),SSK07F-08,2199,อากาศชื้น / หมอก,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,06:35,05:50,08:27,157,1. วรัญญู สังรวมใจ  | 2. เพชราวุธ โพชราช,รถ : โพนสวรรค์-03,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,1,,2026-05-07
1959,7 พ.ค. 2569,06:47,07:21,33,กฟส.ท่าอุเทน (XS),SSK02VF-231,966,อากาศชื้น / หมอก,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,06:47,06:48,07:23,35,1. อนุสรณ์ ทองประสม,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 30 A.EEI-NEMA TYPE K,1,,2026-05-07
1960,7 พ.ค. 2569,07:25,07:29,4,กฟส.ท่าอุเทน (XS),67-021467,399,อากาศชื้น / หมอก,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,07:25,07:28,07:53,25,1. อนุสรณ์ ทองประสม,รถ : รถแก้ไฟท่าอุเทน,H.R.C. FUSE 250 A.DIN OR BS,1,,2026-05-07
1961,7 พ.ค. 2569,08:40,10:26,106,กฟส.วังยาง (XS),41-001850,89,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,08:40,08:47,10:27,100,1. อนุรักษ์ วงค์จันดี,รถ : วย.01,"H.R.C. FUSE, BLADE CONTACT, 160 A",2,,2026-05-07
1962,7 พ.ค. 2569,11:50,11:20,0,กฟส.บ้านแพง (S),SSK08F-54-1,25,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,11:50,12:41,13:25,44,1. รชานนท์ โมธรรม,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-05-07
1963,7 พ.ค. 2569,12:00,13:00,60,กฟส.ธาตุพนม (S),THA06VF-002,510,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,12:00,12:43,13:09,26,1. เกรียงศักดิ์ สุพรรณคุ้ม,รถ : ธพ 03,FUSE HOLDER 22 KV. 100 A. 12 KA.,1,,2026-05-07
1964,7 พ.ค. 2569,15:00,15:57,56,กฟส.ศรีสงคราม (XS),60-016164,132,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,15:00,14:00,14:45,45,1. ศิลารักษ์ วิภา,รถ : ศรีสงคราม 02,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-05-07
1965,7 พ.ค. 2569,15:00,16:01,61,กฟส.ศรีสงคราม (XS),22-005686,142,อากาศปกติ,อุปกรณ์-ชำรุด,ศจฟ,15:00,14:45,15:45,60,1. ศิลารักษ์ วิภา,รถ : ศรีสงคราม 02,"CABLE,AL,750 V,50 SQ.MM. TIS.293",10,,2026-05-07
1966,7 พ.ค. 2569,18:04,18:46,42,กฟส.เรณูนคร (XS),64-018472,125,อากาศปกติ,สัตว์-งู,ศจฟ,18:04,18:25,19:06,41,1. ณวุฒิ กลางประพันธ์,รถ : 80-7964 นพ รณ.01,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-05-07
1967,7 พ.ค. 2569,19:12,18:01,0,กฟส.ธาตุพนม (S),59-021163,49,อากาศปกติ,สัตว์-งู,ศจฟ,19:12,18:02,19:20,78,1. ณวุฒิ กลางประพันธ์  | 2. อติชาติ เมืองงาม,รถ : ธพ 03,FUSE LINK 22 KV. 3 A.EEI-NEMA TYPE K,2,,2026-05-07
1968,7 พ.ค. 2569,19:38,00:43,305,กฟจ.นครพนม (L),NNA01F-38,1733,ฝนตก ฟ้าคะนอง,สัตว์-งู,ศจฟ,19:38,19:51,00:45,294,1. ชัยยา มาตขาว  | 2. วิเชียร สุวอ  | 3. หิรัญ พลไกรสร  | 4. เกริกฤทธิ์ จันทรโพธิ์ศรี,รถ : 81-1269 นพ (นพ 03),FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,2,,2026-05-07
1969,7 พ.ค. 2569,19:52,20:14,22,กฟส.บ้านแพง (S),SSK08F-65,788,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,19:52,19:38,20:16,38,1. สุริยา ทะวงศ์ษา,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 30 A.EEI-NEMA TYPE K,1,,2026-05-07
1970,7 พ.ค. 2569,20:11,01:19,308,กฟจ.นครพนม (L),NNA04F-20,906,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,20:11,20:11,01:21,310,1. ชัยยา มาตขาว  | 2. วิเชียร สุวอ  | 3. หิรัญ พลไกรสร  | 4. เกริกฤทธิ์ จันทรโพธิ์ศรี,รถ : 81-1269 นพ (นพ 03),FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,3,,2026-05-07
1971,7 พ.ค. 2569,20:11,21:30,79,กฟจ.นครพนม (L),NNA01VF-026,1847,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,20:11,20:12,22:00,108,1. ชัยยา มาตขาว  | 2. วิเชียร สุวอ  | 3. หิรัญ พลไกรสร  | 4. เกริกฤทธิ์ จันทรโพธิ์ศรี,รถ : 3ฒภ 2576 กทม (นพ 01),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,3,,2026-05-07
1972,7 พ.ค. 2569,20:13,17:32,0,กฟส.ธาตุพนม (S),THA06VF-035,55,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,20:13,16:31,17:49,78,1. ณวุฒิ กลางประพันธ์  | 2. อติชาติ เมืองงาม,รถ : ธพ 03,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,1,,2026-05-07
1973,7 พ.ค. 2569,20:14,19:50,0,กฟส.ธาตุพนม (S),61-014937,135,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,20:14,19:51,20:57,66,1. ณวุฒิ กลางประพันธ์  | 2. อติชาติ เมืองงาม,รถ : ธพ 03,H.R.C. FUSE 200 A. DIN ORBS,1,,2026-05-07
1974,7 พ.ค. 2569,20:16,20:23,7,กฟส.บ้านแพง (S),SSK08F-65-1,520,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,20:16,20:17,20:30,13,1. สุริยา ทะวงศ์ษา,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,1,,2026-05-07
1975,7 พ.ค. 2569,20:36,20:56,20,กฟส.บ้านแพง (S),SSK08F-69,1115,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,20:36,20:37,20:52,15,1. สุริยา ทะวงศ์ษา,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 30 A.EEI-NEMA TYPE K,2,,2026-05-07
1976,7 พ.ค. 2569,20:49,07:12,10703,กฟจ.นครพนม (L),39-003147,66,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,20:49,20:49,21:14,25,1. ชัยยา มาตขาว  | 2. วิเชียร สุวอ  | 3. หิรัญ พลไกรสร  | 4. เกริกฤทธิ์ จันทรโพธิ์ศรี,รถ : 81-1269 นพ (นพ 03),FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,2,,2026-05-07
1977,7 พ.ค. 2569,20:52,21:20,27,กฟส.บ้านแพง (S),BFA01VF-110,41,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,20:52,20:53,21:15,22,1. สุริยา ทะวงศ์ษา,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,2,,2026-05-07
1978,7 พ.ค. 2569,21:24,22:24,60,กฟส.บ้านแพง (S),SSK08F-59,751,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,21:24,21:25,21:50,25,1. สุริยา ทะวงศ์ษา,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,2,,2026-05-07
1979,7 พ.ค. 2569,21:47,23:01,73,กฟจ.นครพนม (L),NNA07F-02,154,ฝนตก ลมแรง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,21:47,23:49,23:59,10,1. ชัยยา มาตขาว  | 2. วิเชียร สุวอ  | 3. หิรัญ พลไกรสร  | 4. เกริกฤทธิ์ จันทรโพธิ์ศรี,รถ : 81-1269 นพ (นพ 03),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,3,,2026-05-07
1980,7 พ.ค. 2569,22:28,23:13,45,กฟส.บ้านแพง (S),SSK08F-73,199,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,22:28,20:50,22:52,122,1. สุริยา ทะวงศ์ษา,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,2,,2026-05-07
1981,7 พ.ค. 2569,22:55,23:17,22,กฟส.บ้านแพง (S),SSK08-63,28,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,22:55,22:55,23:20,25,1. สุริยา ทะวงศ์ษา,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,2,,2026-05-07
1982,7 พ.ค. 2569,23:43,23:53,10,กฟส.ปลาปาก (XS),NNA07F-56-04,441,ฝนตก ลมแรง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,23:43,23:44,23:59,15,1. สุธรรม จันทะผา,รถ : รถแก้ไฟปลาปาก 01,FUSE LINK 22 KV. 30 A.EEI-NEMA TYPE K,1,,2026-05-07
1983,8 พ.ค. 2569,01:00,01:57,56,กฟจ.นครพนม (L),NNA07F-48/1,476,ฝนตก ลมแรง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,01:00,01:19,02:06,47,1. สุธรรม จันทะผา,รถ : รถแก้ไฟปลาปาก 01,,,,2026-05-08
1984,8 พ.ค. 2569,01:00,08:53,473,กฟจ.นครพนม (L),NNA02VF-006,3,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,01:00,01:39,08:55,436,1. ชัยยา มาตขาว  | 2. ธำรงรัตน์ สระแก้ว  | 3. วสันต์ชัย ดวงสูงเนิน  | 4. วิเชียร สุวอ  | 5. สุรวุฒิ สุขแสงดาว  | 6. หิรัญ พลไกรสร  | 7. เกริกฤทธิ์ จันทรโพธิ์ศรี,รถ : รถกระเช้า (04),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,3,,2026-05-08
1985,8 พ.ค. 2569,01:15,01:22,7,กฟส.บ้านแพง (S),SSK08F-65,788,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,01:15,01:05,01:31,26,1. สุริยา ทะวงศ์ษา,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-05-08
1986,8 พ.ค. 2569,01:20,01:34,14,กฟส.เรณูนคร (XS),67-026511,5,ฝนตก ฟ้าคะนอง,สภาพสิ่งแวดล้อม-ฟ้าผ่า,ศจฟ,01:20,01:25,02:29,64,1. ณวุฒิ กลางประพันธ์,รถ : 80-7964 นพ รณ.01,"H.R.C. FUSE, BLADE CONTACT, 100 A",1,,2026-05-08
1987,8 พ.ค. 2569,07:00,08:10,70,กฟส.ท่าอุเทน (XS),SSK02VF-240,741,อากาศปกติ,ต้นไม้-ต้นไม้ล้มทับสาย,ศจฟ,07:00,04:00,06:00,120,1. วีระพงษ์ วงตรี  | 2. อนุสรณ์ ทองประสม,รถ : -,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,3,,2026-05-08
1988,8 พ.ค. 2569,07:00,08:50,110,กฟจ.นครพนม (L),NNA04F-19,204,ฝนตก ลมแรง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,07:00,07:27,08:52,85,1. ชัยยา มาตขาว  | 2. ธำรงรัตน์ สระแก้ว  | 3. วสันต์ชัย ดวงสูงเนิน  | 4. วิเชียร สุวอ  | 5. สุรวุฒิ สุขแสงดาว  | 6. หิรัญ พลไกรสร  | 7. เกริกฤทธิ์ จันทรโพธิ์ศรี,รถ : รถกระเช้า (04),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,3,,2026-05-08
1989,8 พ.ค. 2569,07:10,08:33,82,กฟส.โพนสวรรค์ (XS),60-024495,309,อากาศชื้น / หมอก,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,07:10,06:50,08:30,100,1. ทรงกลด มาศศรี,รถ : โพนสวรรค์-03,"CABLE,AL,750 V,50 SQ.MM. TIS.293",10,,2026-05-08
1990,8 พ.ค. 2569,07:10,08:47,97,กฟจ.นครพนม (L),NNA05F-01/1,225,ฝนตก ลมแรง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,07:10,07:27,08:49,82,1. ชัยยา มาตขาว  | 2. ธำรงรัตน์ สระแก้ว  | 3. วสันต์ชัย ดวงสูงเนิน  | 4. วิเชียร สุวอ  | 5. สุรวุฒิ สุขแสงดาว  | 6. หิรัญ พลไกรสร  | 7. เกริกฤทธิ์ จันทรโพธิ์ศรี,รถ : รถกระเช้า (04),FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,3,,2026-05-08
1991,8 พ.ค. 2569,07:10,14:31,1881,กฟส.ท่าอุเทน (XS),53-009743,45,อากาศชื้น / หมอก,สัตว์-งู,ศจฟ,07:10,07:47,08:10,23,1. ปรินทร์ บุญเทียม  | 2. วีระพงษ์ วงตรี,รถ : รถแก้ไฟท่าอุเทน,FUSE LINK 22 KV. 3 A.EEI-NEMA TYPE K,2,,2026-05-08
1992,8 พ.ค. 2569,07:15,07:04,0,กฟส.เรณูนคร (XS),THA02F-23,972,ฝนตก ฟ้าคะนอง,สภาพสิ่งแวดล้อม-ฟ้าผ่า,ศจฟ,07:15,05:59,07:06,67,1. ณวุฒิ กลางประพันธ์,รถ : 80-7964 นพ รณ.01,FUSE LINK 22 KV. 3 A.EEI-NEMA TYPE K,2,,2026-05-08
1993,8 พ.ค. 2569,07:20,08:13,53,กฟส.เรณูนคร (XS),60-003254,97,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,07:20,07:10,08:23,73,1. ณวุฒิ กลางประพันธ์,รถ : 80-7964 นพ รณ.01,"CABLE,CU,PVC,INS.&JAC. 600V, 2X10 SQ.MM.",7,,2026-05-08
1994,8 พ.ค. 2569,09:25,10:00,35,กฟส.ศรีสงคราม (XS),SSK08VF-026,2,ฝนตก ฟ้าคะนอง,ภัยธรรมชาติ-พายุฤดูร้อน/พายุดีเปรสชั่น,ศจฟ,09:25,09:26,10:10,44,1. เชาวลิต หัสรินทร์,รถ : ศรีสงคราม 01,FUSE LINK 22 KV. 10 A.EEI-NEMA TYPE K,3,,2026-05-08
1995,8 พ.ค. 2569,09:28,10:03,35,กฟส.ศรีสงคราม (XS),SSK02VF-033,424,อากาศปกติ,สภาพสิ่งแวดล้อม-ความชื้น,ศจฟ,09:28,09:29,10:21,52,1. ปัญจพงษ์ เศรษฐาไชย,รถ : ศรีสงคราม 02,FUSE LINK 22 KV. 25 A.EEI-NEMA TYPE K,2,,2026-05-08
1996,8 พ.ค. 2569,09:39,10:50,70,กฟส.ธาตุพนม (S),THA07VF-006,917,อากาศปกติ,สภาพสิ่งแวดล้อม-ความชื้น,ศจฟ,09:39,10:26,10:56,30,1. นรากร แสนโสม,รถ : กระเช้าธาตุพนม,FUSE LINK 22 KV. 20 A.EEI-NEMA TYPE K,3,,2026-05-08
1997,8 พ.ค. 2569,10:27,11:01,33,กฟส.ปลาปาก (XS),NNA07F-48/2,165,ฝนตก,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,10:27,10:29,11:17,48,1. สุธรรม จันทะผา,รถ : รถแก้ไฟปลาปาก 01,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,3,,2026-05-08
1998,8 พ.ค. 2569,10:29,10:20,0,กฟส.บ้านแพง (S),BFA10VF-101,532,ฝนตก,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,10:29,10:05,10:45,40,1. รชานนท์ โมธรรม,รถ : กระเช้าบ้านแพง,FUSE LINK 22 KV. 15 A.EEI-NEMA TYPE K,1,,2026-05-08
1999,8 พ.ค. 2569,10:29,10:31,2,กฟส.บ้านแพง (S),45-023787,32,ฝนตก,ต้นไม้-กิ่งไม้หักพาดสาย,ศจฟ,10:29,09:15,10:36,81,1. รชานนท์ โมธรรม,รถ : กระเช้าบ้านแพง,H.R.C. FUSE 50 A.DIN OR BS,1,,2026-05-08
2000,8 พ.ค. 2569,10:30,11:12,42,กฟส.วังยาง (XS),SOA07F-558,1328,ฝนตก,วัสดุแปลกปลอม-เศษกิ่งไม้ใบไม้/ฟาง/ทางมะพร้าวปลิวมาแตะ,ศจฟ,10:30,10:34,11:50,76,1. อนุรักษ์ วงค์จันดี,รถ : วย.01,"DROPOUT,FUSE,22 KV.100 A.12 KA",1,,2026-05-08
2001,8 พ.ค. 2569,10:31,10:39,8,กฟส.ปลาปาก (XS),40-017528,29,ฝนตก ลมแรง,วัสดุแปลกปลอม-เศษกิ่งไม้ใบไม้/ฟาง/ทางมะพร้าวปลิวมาแตะ,ศจฟ,10:31,10:33,12:00,87,1. ศักดิพัฒน์ บุราณเดช  | 2. สุธรรม จันทะผา,รถ : รถแก้ไฟ 02,FUSE LINK 22 KV. 3 A.EEI-NEMA TYPE K,2,,2026-05-08
2002,8 พ.ค. 2569,10:40,10:48,8,กฟจ.นครพนม (L),NNA04F-22,2461,ฝนตก ลมแรง,วัสดุแปลกปลอม-เศษกิ่งไม้ใบไม้/ฟาง/ทางมะพร้าวปลิวมาแตะ,ศจฟ,10:40,10:41,10:53,12,1. กิติศักดิ์ หาราช  | 2. จันทะคาด บัวเคน  | 3. ณัฏฐศรันย์ อันทระบุตร  | 4. ทศวรรษ มังคละคีรี  | 5. ธำรงรัตน์ สระแก้ว  | 6. นลธวัช ศรีหาเศษ  | 7. ประจล ศรีสุราช  | 8. พงษ์สนิจ ศรีวิชัย  | 9. พิพัฒน์ พิมพ์ศรี  | 10. วสันต์ชัย ดวงสูงเนิน  | 11. สุรวุฒิ สุขแสงดาว,รถ : 81-1269 นพ (นพ 03),FUSE HOLDER 22 KV. 100 A. 12 KA.,1,,2026-05-08
